study,variable_id,outcome_type,denominator,derivation,source_questions,notes
rct,bf_imm_ka_w3,knowledge and attitudes,all respondents with a complete survey,"999=refused, 0=don't know, 1=baby should not be put to the breast immediately after birth, 2=baby should be put to the breast immediately after birth",i2300,
rct,bf_imm_w1,practice,all respondents with a complete survey and a new child <=5 years old reported at wave 1 who reported a natural birth,"999=refused, 0= don’t know when baby was put to breast, 1=baby was not put to the breast immediately after birth, 2=baby was put to the breast immediately after birth",f5800,AUTO-HARVESTED from honduras_WAVE1_metadata.pdf via pdfplumber table extraction
rct,bf_imm_w2,practice,all respondents with a complete survey and a new child reported at wave 2 or youngest child reported at wave 2 baseline if dob<2015-09- 01 who reported a natural birth,"999=refused, 0= don’t know when baby was put to breast, 1=baby was not put to the breast immediately after birth, 2=baby was put to the breast immediately after birth",f5800,AUTO-HARVESTED from honduras_WAVE2_metadata.pdf via pdfplumber table extraction
rct,bf_imm_w3,practice,all respondents with a complete survey and a child born since 2018-09-01 (after the end of the intervention) who reported a natural birth,"999=refused, 0= don’t know when baby was put to breast, 1=baby was not put to the breast immediately after birth, 2=baby was put to the breast immediately after birth",f5800,
rct,birth_age_ka_w1,knowledge and attitudes,all respondents with a complete survey,"999=refused, 0= Don't Know, 1=okay for woman to have first baby under 18 years of age, 2= okay for woman to have first baby at 18 years of age or older",i1000,AUTO-HARVESTED from honduras_WAVE1_metadata.pdf via pdfplumber table extraction
rct,birth_age_ka_w3,knowledge and attitudes,all respondents with a complete survey,"999=refused, 0= Don't Know, 1=okay for woman to have first baby under 18 years of age, 2= okay for woman to have first baby at 18 years of age or older",i1000,
rct,birth_age_ka_w4,knowledge and attitudes,all respondents with a complete survey,"999=refused, 0= Don't Know, 1=okay for woman to have first baby under 18 years of age, 2= okay for woman to have first baby at 18 years of age or older",i1000,MIRRORED from birth_age_ka_w3; derivation applies analogously with the wave window shifted; verify against actual data files
rct,birth_fac_ka_w1,knowledge and attitudes,all respondents with a complete survey,"999=refused, 0=don't know, 1=the best place for a woman to give birth is not in a facility, 2=the best place for a woman to give birth is a facility",i1500,AUTO-HARVESTED from honduras_WAVE1_metadata.pdf via pdfplumber table extraction
rct,birth_fac_ka_w2,knowledge and attitudes,all respondents with a complete survey,"999=refused, 0=don't know, 1=the best place for a woman to give birth is not in a facility, 2=the best place for a woman to give birth is a facility",i1500,AUTO-HARVESTED from honduras_WAVE2_metadata.pdf via pdfplumber table extraction
rct,birth_fac_ka_w3,knowledge and attitudes,all respondents with a complete survey,"999=refused, 0=don't know, 1=the best place for a woman to give birth is not in a facility, 2=the best place for a woman to give birth is a facility",i1500,
rct,birth_fac_w1,practice,all respondents with a complete survey and a new child <=5 years old reported at wave 1,"999=refused, 0= Don't Know, 1=birth not in facility, 2=facility birth",f2700,AUTO-HARVESTED from honduras_WAVE1_metadata.pdf via pdfplumber table extraction
rct,birth_fac_w2,practice,all respondents with a complete survey and a new child reported at wave 2 or youngest child reported at wave 2 baseline if dob<2015-09- 01,"999=refused, 0= Don't Know, 1=birth not in facility, 2=facility birth",f2700,AUTO-HARVESTED from honduras_WAVE2_metadata.pdf via pdfplumber table extraction
rct,birth_fac_w3,practice,all respondents with a complete survey and a child born since 2018-09-01 (after the end of the intervention),"999=refused, 0= Don't Know, 1=birth not in facility, 2=facility birth",f2700,
rct,birth_fac_w4,practice,all respondents with a complete survey and a child born since 2018-09-01 (after the end of the intervention),"999=refused, 0= Don't Know, 1=birth not in facility, 2=facility birth",f2700,MIRRORED from birth_fac_w3; derivation applies analogously with the wave window shifted; verify against actual data files
